127.0.0.1 - - [28/Aug/2022:14:32:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:32:44 +0900] "GET /betty/ HTTP/1.1" 200 17736
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:32:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:33:01 +0900] "GET /betty/library HTTP/1.1" 200 24144
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:33:14 +0900] "GET /betty/books HTTP/1.1" 200 15527
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:35:06 +0900] "GET /betty/boards/notice HTTP/1.1" 200 13694
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:35:11 +0900] "GET /betty/boards/notice HTTP/1.1" 200 13694
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:35:51 +0900] "GET /betty/sign/up/member HTTP/1.1" 200 15555
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:36:19 +0900] "POST /betty/sign/up/member HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:36:19 +0900] "GET /betty/sign/up/member HTTP/1.1" 200 15555
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:41:34 +0900] "GET /betty/sign/up/member HTTP/1.1" 200 15555
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:42:18 +0900] "GET /betty/resources/img/assets/lantern.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:45:46 +0900] "GET /betty/sign/up/member HTTP/1.1" 200 15555
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:45:51 +0900] "GET /betty/sign/up/member HTTP/1.1" 200 15555
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:45:51 +0900] "GET /betty/resources/css/elegant-icons.css HTTP/1.1" 200 26411
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:45:51 +0900] "GET /betty/resources/css/simple-calendar.css HTTP/1.1" 200 4242
